Name,Link,Description,Address,Themes,Latitude,Longitude
礼王府,https://s.visitbeijing.com.cn/attraction/120793,礼王府位于西黄城根南街7号、9号。明代是崇祯皇帝的外戚周奎的私宅。,北京市西城区西黄城根南街7号、9号,遗产古迹,39.92135,116.37729
北京庆王府,https://s.visitbeijing.com.cn/attraction/120792,庆王府西城区定阜街3号。为清末再封庆亲王奕劻的王邸，庆王府当是在光绪十年(1884)晋封庆郡王后按王府规制改建，始称王府。,北京市西城区定阜街3号,遗产古迹,39.93548,116.38002
郑王府,https://s.visitbeijing.com.cn/attraction/120791,郑王府是北京市重点保护文物，为清代规模较大的一座王府，曾作为钟郡王奕诒的宅邸。,北京市西城区大木仓胡同,遗产古迹,39.911634,116.370587
鉴园遗址,https://s.visitbeijing.com.cn/attraction/120841,鉴园遗址，位于圆明园长春园东南部，如园东北，长春园东门（也叫大东门）以南，西临长湖，东倚园墙。占地6000平方米，建筑面积1900平方米。,北京市海淀区清华西路28号,"遗产古迹, 休闲娱乐",40.007671,116.304407
十三陵·定陵,https://s.visitbeijing.com.cn/attraction/120910,定陵地下宫殿是中国著名地下建筑之一，明代神宗皇帝朱翊钧（1573～1620年）的陵墓。,北京市昌平区天寿山南麓,"遗产古迹, 特色游",40.223044,116.075565
国子监街,https://s.visitbeijing.com.cn/attraction/120690,国子监街，在北京市东城区安定门内，是一条东西向的胡同。,北京市东城区安定门内,"遗产古迹, 休闲娱乐, 特色游",39.945539,116.407979
长城大庄科段,https://s.visitbeijing.com.cn/attraction/120685,大庄科段长城，与八达岭段长城同属“内长城”，其起点位于大庄科乡龙泉峪村东1.4公里处，同怀柔的水峪村长城相接,起点位于北京市延庆区大庄科乡龙泉峪村东1.4公里处,"遗产古迹, 特色游, 登山",40.412967,116.276211
斋堂城遗址,https://s.visitbeijing.com.cn/attraction/120687,斋堂城遗址 位于北京市门头沟区斋堂镇斋堂村，是东通京师、西达河北省至蒙古高原的大道，明代建城于此，扼守古道通途。,北京市门头沟区斋堂镇斋堂村,"遗产古迹, 特色游, 踏青",39.971324,115.690963
静心斋,https://s.visitbeijing.com.cn/attraction/120861,静心斋原名镜清斋。在北海北岸，西邻天王殿。,北京市西城区文津街1号,"遗产古迹, 特色游, 踏青, 赏花, 避暑",39.926417,116.3885
荀慧生故居,https://s.visitbeijing.com.cn/attraction/120851,荀慧生故居为区级文物保护单位。位于北京市宣武区山西街。故居坐西朝东，四合院格局。,北京市宣武区山西街,遗产古迹,39.891789,116.378286
十三陵·昭陵,https://s.visitbeijing.com.cn/attraction/120773,明昭陵位于北京市昌平区，是明十三陵中的一座陵墓，在大峪山东麓，是明朝第十二位皇帝穆宗朱载垕及其三位皇后的合葬陵寝。,北京昌平区大峪山东麓,"遗产古迹, 特色游",40.31081,116.202591
十三陵·康陵,https://s.visitbeijing.com.cn/attraction/120772,明十三陵的康陵，是明朝第十位皇帝武宗朱厚照和皇后夏氏的合葬陵墓。,昌平天寿山陵区莲花山东麓,"遗产古迹, 特色游",40.158332,116.039743
十三陵·裕陵,https://s.visitbeijing.com.cn/attraction/120771,明裕陵，位于明十三陵天寿山西峰石门山南麓，是明朝第六位皇帝明英宗朱祁镇和皇后钱氏、周氏的合葬陵寝。裕陵经多年风雨已残破不全，于2001年进行了彻底的修缮。,北京市昌平区十三陵地区,"遗产古迹, 特色游",40.27265,116.225074
十三陵·泰陵,https://s.visitbeijing.com.cn/attraction/120703,明泰陵，位于笔架山东南麓，这里又称“施家台”，或“史家山”，是明朝第九帝孝宗敬皇帝朱祐樘（年号弘治）及皇后张氏的合葬陵寝。,北京昌平区笔架山东南麓,"遗产古迹, 特色游",40.220952,116.231034
十三陵·庆陵,https://s.visitbeijing.com.cn/attraction/120702,庆陵，位于十三陵中的长陵西北1.5公里，献陵西北约0.5公里，北京昌平天寿山陵内黄山寺二岭南麓，是明朝第十四位皇帝——明光宗朱常洛和皇后郭氏、王氏、刘氏的合葬陵寝。,北京市昌平区天寿山,"遗产古迹, 特色游",40.223044,116.075565
十三陵·景陵,https://s.visitbeijing.com.cn/attraction/120701,明景陵是指明朝第五位皇帝宣宗朱瞻基与皇后孙氏的合葬陵寝，位于天寿山东峰（又名黑山）之下，建造动用10万余人，在1463年3月19日完工。,北京市昌平区天寿山东峰,"遗产古迹, 特色游",40.210859,116.21743
十三陵·永陵,https://s.visitbeijing.com.cn/attraction/120700,明永陵位于北京市昌平区天寿山阳翠岭南麓，是明朝第十一位皇帝世宗朱厚熜及陈氏、方氏、杜氏三位皇后的合葬陵寝。,北京市昌平区天寿山阳翠岭南麓,"遗产古迹, 特色游",40.220952,116.231034
十三陵·茂陵,https://s.visitbeijing.com.cn/attraction/120699,明茂陵，位于明十三陵明裕陵右侧的聚宝山下，是明朝第八位皇帝明宪宗朱见深和王氏、纪氏、邵氏三位皇后的合葬陵寝。,位于明十三陵明裕陵右侧的聚宝山,遗产古迹,,
十三陵·石牌坊,https://s.visitbeijing.com.cn/attraction/120698,立在北京市昌平区天寿山明十三陵前的陵门是全国现存最大的石牌坊，这是一座六柱五间十一楼的彩绘超大石坊，高五十尺（合16米），宽一百零四尺（合35米），其上巨大的汉白玉石构件和精美的石雕工艺堪称一绝。,北京市昌平区天寿山明十三陵,遗产古迹,40.260924,116.226921
十三陵·献陵,https://s.visitbeijing.com.cn/attraction/120697,明献陵是中国明朝第四位皇帝明仁宗朱高炽和皇后张氏的陵墓，坐落在北京西北郊昌平区境内的燕山山麓的天寿山，是明十三陵之一。,北京西北郊昌平区境内的燕山山麓的天寿山,遗产古迹,40.220952,116.231034
冯玉祥将军陈列室,https://s.visitbeijing.com.cn/attraction/120854,慈善寺院后面名为“灵境”的东跨院就是冯玉祥将军故居，北房5间和厢房已修缮一新，现被辟为爱国主义教育基地“冯玉祥将军事迹陈列室”。,石景山区五里坨天泰山慈善寺内,"遗产古迹, 休闲娱乐, 特色游",39.979595,116.157348
太庙,https://s.visitbeijing.com.cn/attraction/119894,太庙是中国古代皇帝的宗庙。太庙在夏朝时称为“世室”，殷商时称为“重屋”，周称为“明堂”，秦汉时起称为“太庙”。,北京市东城区东长安街东长安街天安门东侧,"遗产古迹, 特色游",39.908823,116.39747
王府井小吃街,https://s.visitbeijing.com.cn/attraction/119558,王府井小吃街是北京及各地名优风味小吃的荟萃之苑，位于王府井大街好友世界商场的南侧，街内有店铺、摊位百余个，是一家专门经营北京及各地风味小吃、旅游纪念品、民间工艺品的市场。,王府井好友世界商场南,"遗产古迹, 休闲娱乐, 特色游, 烧烤",,
北京柏林寺,https://s.visitbeijing.com.cn/attraction/118453,明清之际，寺为北京八大寺庙之一，建于元至正七年(公元1347年)，寺内保存的《龙藏》经版，是中国释藏中现存的唯一木刻经版。,北京东城区雍和宫大街戏楼胡同1号,"遗产古迹, 特色游",39.946047,116.420079
文天祥祠,https://s.visitbeijing.com.cn/attraction/118155,文天祥祠坐北朝南，由大门，过厅，正堂组成。在过厅和正堂内设有文天祥生平事迹展及塑像。院内一棵歪脖枣树相传为文天祥亲手所植。,北京市东城区府学胡同63号,"博物馆, 遗产古迹, 特色游",39.936031,116.410426
明瑞府（寿恩固伦公主府）（六公主府）,https://s.visitbeijing.com.cn/attraction/118054,带你走进被遗忘的时间与空间 品味历史遗留给北京的四合院落,东城内务部街11号,遗产古迹,39.928359,116.416334
北京成贤街,https://s.visitbeijing.com.cn/attraction/118048,寻觅繁华都市那一抹淡淡的“返古幽香”,东城区国子监街,"遗产古迹, 特色游",39.945074,116.415579
地坛公园,https://s.visitbeijing.com.cn/attraction/117830,地坛公园的银杏到深秋，银杏叶也变得金黄，最是一年绚烂时。,北京市东城区安定门外大街200号地坛公园,"遗产古迹, 特色游, 踏青, 避暑",39.954184,116.409338
菊儿胡同,https://s.visitbeijing.com.cn/attraction/117299,与繁华相邻有着浓重的历史书似的味道。,北京市东城区菊儿胡同,"遗产古迹, 休闲娱乐, 特色游",39.939182,116.405749
皇城根遗址公园,https://s.visitbeijing.com.cn/attraction/101932,不论是春夏秋冬，这里总会有老年人锻炼身体、夏季这里的小广场上还有舞会、秋天这里别有秋韵、春天这里百花齐放。,北京市东城区南河沿大街19号（王府井步行街西侧）,"遗产古迹, 休闲娱乐, 特色游, 赏花",39.91303,116.40665
循郡王府,https://s.visitbeijing.com.cn/attraction/101742,循郡王名永璋，是乾隆皇帝第三子，死后追封循郡王爵，府邸十分别致。,东城区安定门内大街方家胡同13-15号,遗产古迹,39.94417,116.41547
李鸿章祠堂,https://s.visitbeijing.com.cn/attraction/101724,李鸿章一代总督，一代大臣，好坏各有其说，祠堂的点滴揭示给我们的事毋庸置疑的威严和缜密。,东城区西总布胡同27号,遗产古迹,39.912329,116.423036
老舍纪念馆,https://s.visitbeijing.com.cn/attraction/101721,原为老舍故居，即我们儿时熟知的“丹柿小院”。,北京市东城区灯市口西街丰富胡同19号,遗产古迹,39.918617,116.40835
孚郡王府,https://s.visitbeijing.com.cn/attraction/101708,"孚郡王府孚王府,也被称为孚郡王府，该府是世袭递降郡王府。",东城区朝阳门内大街137号,遗产古迹,39.924754,116.424872
段祺瑞执政府旧址,https://s.visitbeijing.com.cn/attraction/101707,民国初期，这里先后为总统府、国务院、总理府，以及段祺瑞执政府所在地。,东城区张自忠路3号,"博物馆, 遗产古迹, 特色游",39.933816,116.415113
段祺瑞宅,https://s.visitbeijing.com.cn/attraction/101706,段祺瑞宅原为清代康熙皇帝第二十二子允祜府，北洋政府时期，该府被段祺瑞所得。,仓储胡同5号,遗产古迹,,
东交民巷,https://s.visitbeijing.com.cn/attraction/101703,老北京使馆区，颇有历史遗存。,北京市东城区,"遗产古迹, 特色游",39.928359,116.416334
大公主府,https://s.visitbeijing.com.cn/attraction/101699,同治年间为荣安固伦公主府，俗称“大公主府”。,北京市密云区溪翁庄镇白河郊野公园内,遗产古迹,40.475309,116.854003
天坛公园,https://s.visitbeijing.com.cn/attraction/101409,天坛是中国现存最大的古代祭祀性建筑群，是明清两朝皇帝祭天的地方，是北京一日游的必选景点。,北京市东城区天坛内东里7号天坛公园管理处,"遗产古迹, 休闲娱乐, 特色游, 踏青, 赏花",39.875276,116.413485
纪晓岚故居,https://s.visitbeijing.com.cn/attraction/101363,因为一部铁齿铜牙纪晓岚而爆红的阅微草堂，相比和珅的恭王府虽然很小，但是确多了一份文人的风雅。,北京市东城区珠市口西大街241号,"遗产古迹, 特色游",39.890777,116.394553
南锣鼓巷,https://s.visitbeijing.com.cn/attraction/101328,近几年红得发紫的胡同，文艺青年的聚集地，特色店铺也很多，只是因为商业气息越来越浓可能已经失去了最初的韵味。,北京市东城区南锣鼓巷胡同(近地安门东大街),"遗产古迹, 休闲娱乐, 特色游",39.933383,116.402405
烟袋斜街,https://s.visitbeijing.com.cn/attraction/101270,其由来正是因为这条斜街曾经都是烟袋铺而得名，而它现在的兴起完全是因为后海与鼓楼地区的繁华有极大关系。,北京市地安门外大街鼓楼前,"遗产古迹, 特色游",39.94076,116.39595
东棉花胡同,https://s.visitbeijing.com.cn/attraction/101266,胡同名称的由来已经无从考证，这里最吸引人的可能就是中国戏剧的最高学府之一中戏的所在地，今日在这里与你擦肩而过的有可能就是明日之星。,北京市东城区安定门内大街,"遗产古迹, 特色游",39.942009,116.408755
帽儿胡同,https://s.visitbeijing.com.cn/attraction/101259,帽儿胡同是当今北京城十大胡同之一，排行第四。虽然排名这个事儿比较玄乎，但是确实值得一看。,北京市东城区交道口街道帽儿胡同,"遗产古迹, 特色游",39.936379,116.398791
荣禄故宅,https://s.visitbeijing.com.cn/attraction/101217,荣禄故居的主人是清朝大臣荣禄，慈禧的宠臣，这年头但凡和清宫沾边的事儿都会很有市场，他的故居也不例外。,北京东城区交道口菊儿胡同3号、5号和寿 比胡同6号,遗产古迹,39.939335,116.407748
茅盾故居,https://s.visitbeijing.com.cn/attraction/101202,茅盾故居共有两处，其文学上极高的造诣为这一座故居添加了不可磨灭的意义。,北京市东城区后圆恩寺胡同13号,"博物馆, 遗产古迹, 特色游",39.93861,116.40474
砖塔胡同,https://s.visitbeijing.com.cn/attraction/120316,砖塔胡同因胡同东口（通西四南大街）的砖塔而得名。是北京市历史最悠久的胡同之一，也是目前北京遭到破坏较少，风貌保存较好的胡同之一（它非常的古老），元朝就有了。,北京市西城区西四砖塔胡同,"遗产古迹, 特色游",39.885344,116.370655
杨梅竹斜街,https://s.visitbeijing.com.cn/attraction/119565,杨梅竹斜街长496米，东起煤市街，西到延寿街。明代称“斜街”，因为该街的走向自东北向西南倾斜，故得名。,前门外西南，在大栅栏街西口往西大约半公里处。,"遗产古迹, 休闲娱乐, 特色游",,
北京郭守敬纪念馆,https://s.visitbeijing.com.cn/attraction/118149,游人至此，既可漫步于曲折小径之上，尽享园林美景，又可睹物思人，追念这位古代伟大的科学家。,北京市西城区德胜门西大街甲60号汇通祠内,"博物馆, 遗产古迹, 特色游",39.948285,116.374217
北京醇亲王府,https://s.visitbeijing.com.cn/attraction/118071,醇亲王府位于后海北沿。前身是清初大学士明珠的宅第。,西城区后海北沿44号(近后海北沿西段),"遗产古迹, 特色游",39.942532,116.387325
北京鸦儿胡同,https://s.visitbeijing.com.cn/attraction/118070,鸦儿胡同属西城区什刹海街道。东南起小石碑胡同，与烟袋斜街相连；西北至甘露胡同。,北京市西城区,"遗产古迹, 特色游",39.9126,116.36585
北京陕西巷,https://s.visitbeijing.com.cn/attraction/118059,陕西巷位于北京市宣武区大栅栏街道社区的南北向胡同。南起珠市口西大街，北至铁树斜街，全长约500米。,北京市宣武区大栅栏街道社区,"遗产古迹, 特色游",39.895767,116.392105
校场口胡同,https://s.visitbeijing.com.cn/attraction/118057,校场口胡同位于宣武区西北部。东起宣武门外大街，西至老墙根街。因军队演武、操练得名。,西城区西北部。东起宣武门外大街，西至老墙根街的一条胡同。,"遗产古迹, 特色游",39.893995,116.374002
北京鲁迅故居,https://s.visitbeijing.com.cn/attraction/118052,北京市西城区阜成门内宫门口二条19号 ，是鲁迅1924 年至1926年在北京的住所。,西城区阜城门内宫门口二条19号,"博物馆, 遗产古迹, 特色游",39.925818,116.35867
北京护国寺,https://s.visitbeijing.com.cn/attraction/118044,北京护国寺位于西城西四牌楼之北，护国寺街西口内路北，农历每月逢七、八有庙会。,西城区护国寺大街,"遗产古迹, 休闲娱乐, 特色游",39.935594,116.374459
景山公园,https://s.visitbeijing.com.cn/attraction/117811,景山公园是一座环境优美的皇家园林，也是北京最大的牡丹观赏园...,北京市西城区景山西街44号,"遗产古迹, 登山, 踏青, 赏花",39.92641,116.39381
恭王府,https://s.visitbeijing.com.cn/attraction/117810,恭王府是目前现存王府中规模最大，保护最好的一座，既有中国江南园林风格，又有北方造园特色。,北京市西城区前海西街17号,"遗产古迹, 特色游",39.93578,116.38735
北海公园,https://s.visitbeijing.com.cn/attraction/117807,北海公园位是我国现存最悠久、保存最完整的皇家园林之一，“让我们荡起双桨，小船儿推开波浪……”，这首优美动听的歌曲正是描绘北海仙境般的景色。,北京市西城区文津街1号(故宫北),"遗产古迹, 休闲娱乐, 特色游, 踏青, 赏花, 避暑",39.924839,116.388417
宋庆龄故居,https://s.visitbeijing.com.cn/attraction/117034,这是一处雍容典雅、幽静别致的庭园。院内曲径回廊，楼堂亭榭；湖水环绕，山石嶙峋；绿树浓荫，花香四溢。,北京市西城区后海北沿46号,"博物馆, 遗产古迹, 特色游",39.943287,116.387587
北京大观园,https://s.visitbeijing.com.cn/attraction/101918,一座大观园因红楼梦而作为人们心目中的经典已经存在了二十多年。,北京市西城区南菜园街12号,"遗产古迹, 特色游",39.871574,116.355916
洵贝勒府,https://s.visitbeijing.com.cn/attraction/101814,"洵贝勒府，宅第坐北朝南，府西至今西单北大街,北邻今灵境胡同,东在今府墙。",北京市西城区西单北大街110号,"遗产古迹, 特色游",39.9146,116.37407
民国国会议场,https://s.visitbeijing.com.cn/attraction/101792,建于民国初年，时为国会开会和办公的场所。,西城区宣武门西大街,"遗产古迹, 特色游",39.899088,116.369287
梅兰芳纪念馆,https://s.visitbeijing.com.cn/attraction/101789,1961年梅兰芳逝世前，曾在这幽静、安适的四合院内，度过了他人生的最后10年。,北京市西城区护国寺街9号,"博物馆, 遗产古迹, 特色游",39.93542,116.37974
李大钊故居,https://s.visitbeijing.com.cn/attraction/101784,李大钊早年去日留学，1916年回国后，6月迁居北京后曾在此居住较长的一段岁月。,文华胡同24号(中央音乐学院附近),"博物馆, 遗产古迹, 特色游",,
会贤堂旧址,https://s.visitbeijing.com.cn/attraction/101777,是北京八大堂之一原是清光绪时礼部侍郎斌儒的私第。,在西城区什刹海前海北沿19号,"遗产古迹, 特色游",39.9126,116.36585
龚自珍故居,https://s.visitbeijing.com.cn/attraction/101771,晚清思想家、史学家龚自珍在此住过5年，离开时将这座宅院卖给广东番禺人潘仕成，潘将其赠给番禺在京同乡会，院子被改为广东番禺会馆。,位于宣武门外上斜街50号,遗产古迹,,
定亲王府,https://s.visitbeijing.com.cn/attraction/101767,是世袭递降亲王府，该府原为巽亲王府。,西城区西四定亲王府本数据来源于百度地图，最终结果以百度地图数据为准。南大街缸瓦市,"遗产古迹, 特色游",39.919051,116.373417
鲁迅博物馆,https://s.visitbeijing.com.cn/attraction/101756,鲁迅博物馆是中国人民为了纪念和学习中华民族的思想文化巨人鲁迅先生而建立的社会科学类人物博物馆。,阜城门内大街宫门口二条19号,"博物馆, 遗产古迹, 特色游",37.862984,116.175424
钱市胡同,https://s.visitbeijing.com.cn/attraction/101371,北京最窄的胡同，也是中国现存最早、最完整的金融交易所。,北京市西城区珠宝市街西侧,"遗产古迹, 特色游",39.896352,116.397635
庄亲王府,https://s.visitbeijing.com.cn/attraction/101317,清初八大“铁帽子王”承泽亲王的王府所在，如果您对清宫剧情有独钟，那这里将是您探寻清宫秘史的一个好去处。,北京市西城区西四北太平仓胡同路北,"遗产古迹, 特色游",39.931482,116.374951
琉璃厂,https://s.visitbeijing.com.cn/attraction/101294,琉璃厂经过几百年的发展，人文积淀深厚，如果您要买文房四宝或者古书古籍这里一定是一个好去处。,北京是西城区和平门外,"遗产古迹, 休闲娱乐, 特色游",39.899072,116.381259
静明园,https://s.visitbeijing.com.cn/attraction/119057,"静明园位于北京市海淀区玉泉山小东门外,颐和园昆明湖西。占地75公顷，其中水面13公顷。为""三山五园""之一。",北京市海淀区玉泉山小东门外，颐和园昆明湖西,遗产古迹,39.99299,116.272362
黑龙潭龙王庙,https://s.visitbeijing.com.cn/attraction/118424,黑龙潭及龙王庙，属市级文保单位，龙王庙坐西朝东，依山势层层向上，黑龙潭在明清两代都是皇帝祈雨的地方。,北京市海淀区寿安山北麓,遗产古迹,40.009809,116.203093
白家疃怡贤王祠,https://s.visitbeijing.com.cn/attraction/118423,1985年，白家疃怡贤王祠被北京市政府确定为市级文物保护单位。大戏台于2004年由区政府出资进行修葺，彩画一新。,北京市海淀区西北部,"遗产古迹, 特色游",40.071342,116.192889
北京上庄纳兰性德史迹陈列馆,https://s.visitbeijing.com.cn/attraction/118163,建筑风格为砖木结构仿清四合院格局，重檐彩绘，回廊琐窗，具有浓厚的传统园林风格。,北京市海淀区上庄乡上庄村翠湖水乡旅游度假区内,"博物馆, 遗产古迹, 特色游",40.106348,116.19786
曹雪芹纪念馆,https://s.visitbeijing.com.cn/attraction/118056,曹雪芹纪念馆在海淀区四季青乡正白旗村。是我国清代伟大的现实主义作家曹雪芹晚年居住的地方。1983年4月22日开馆。傅杰题写匾额“曹雪芹纪念馆”。,北京市海淀区香山卧佛寺路正白旗村39号北京植物园内,遗产古迹,39.994215,116.21537
圆明园遗址公园,https://s.visitbeijing.com.cn/attraction/101422,圆明园被誉为万园之园，世界园林的典范。春季的“踏青节”、夏季的“荷花节”、秋季的“菊花节”、冬季的游园会四季系列旅游文化活动形成特色。命名为“全国中小学爱国主义教育基地”。,北京市海淀区清华西路28号,"遗产古迹, 休闲娱乐",40.007671,116.304407
清华园,https://s.visitbeijing.com.cn/attraction/101329,"清华园曾是皇家园林, 至今仍保存着近春园谴址, 这里有水, 假山. 亭台, 是人们来这里休闲, 游玩的好地方",北京市海淀区双清路30号清华大学校内(近圆明园),"遗产古迹, 休闲娱乐, 赏花",40.001097,116.324398
八达岭水关长城景区,https://s.visitbeijing.com.cn/attraction/117872,长城历两千余载，纵横华夏大地十万余里，其本身就是一部浩然的历史长卷，国之魂魄，民之脊梁,北京市延庆区八达岭镇石佛寺村,"遗产古迹, 特色游, 登山",40.343504,116.051155
中国长城博物馆,https://s.visitbeijing.com.cn/attraction/101639,其参观线路在设计的宛如长城起伏，处处可见“雄关”、“隘口”，仿佛置身万里长城之上。,北京市延庆区八达岭景区内,"博物馆, 遗产古迹, 特色游, 登山",40.360067,116.001542
八达岭长城风景名胜区,https://s.visitbeijing.com.cn/attraction/101406,八达岭长城史称天下九塞之一，在明长城中保存最好，是万里长城向游人开放最早的地段。,北京市延庆区八达岭特区办事处,"遗产古迹, 特色游, 登山, 踏青",40.360488,115.986366
十三陵·神路,https://s.visitbeijing.com.cn/attraction/118373,十三陵神道，即长陵神道，是长陵陵寝建筑的前导部分，依次建有石牌坊、三空桥、大红门等等。,十三陵特区办事处,遗产古迹,,
十三陵·长陵,https://s.visitbeijing.com.cn/attraction/117963,长陵为明十三陵之首，风水宝地，修建的也大气，工艺考究、是原建筑保护最完整的一处墓园。,北京市昌平区天寿山麓,"博物馆, 遗产古迹, 特色游, 踏青",40.223044,116.075565
居庸关长城,https://s.visitbeijing.com.cn/attraction/101490,长城连绵起伏像一条蜿蜒的巨龙，曲折跌宕的石阶像巨龙的龙身，巍然屹立的烽火台就像那龙头，巨龙翘首欲飞。,北京市昌平区南口镇居庸关村,"遗产古迹, 特色游, 登山",40.285693,116.076739
明十三陵,https://s.visitbeijing.com.cn/attraction/101416,明十三陵是明朝迁都北京后13位皇帝陵墓的皇家陵寝的总称，是世界上保存最完整，埋葬皇帝最多的墓葬群。景区已开放景点有长陵、定陵、昭陵、神路。,北京市昌平区十三陵特区办事处,"遗产古迹, 特色游",40.29423,116.22787
长峪城,https://s.visitbeijing.com.cn/attraction/101255,长峪城麻雀虽小五脏俱全，各色庙宇一应俱全，旧城内有佛殿及娘娘庙，庙内有钟、鼓楼。新城内有关帝庙、菩萨庙各一座。,北京市昌平区流村镇长峪城(近禾子涧路),"遗产古迹, 登山",40.217496,115.899104
居庸关关城云台,https://s.visitbeijing.com.cn/attraction/101252,居庸关关城云台原是居庸关城的一座过街塔的座子，位于关城中心，因其地势险要，位列三关之首，为历代兵家必争之地。,北京市昌平区南口镇居庸关,"遗产古迹, 登山",40.285693,116.076739
大榛峪长城,https://s.visitbeijing.com.cn/attraction/119518,大榛峪位于怀柔渤海镇的北面、响水湖风景区的门口，总面积18平方公里，其中山林面积11500亩，是集长城、古洞、山川、泉潭、飞瀑于一体的天然锦秀谷。,北京市怀柔区渤海镇的北面、响水湖风景区的门口,"遗产古迹, 特色游, 踏青, 赏花",40.467522,116.481519
